n	version1	version2	version3	version4
184	5.495e-03	1.679e-02	3.965e-03	3.202e-03
185	5.519e-03	1.678e-02	3.967e-03	3.267e-03
186	5.453e-03	1.681e-02	4.113e-03	3.236e-03
187	5.430e-03	1.680e-02	3.940e-03	3.270e-03
188	5.426e-03	1.679e-02	3.945e-03	3.228e-03
189	5.496e-03	1.688e-02	4.083e-03	3.203e-03
190	5.473e-03	1.678e-02	3.974e-03	3.224e-03
191	5.464e-03	1.683e-02	4.099e-03	3.205e-03
192	5.502e-03	1.682e-02	3.939e-03	3.326e-03
193	5.498e-03	1.680e-02	3.958e-03	3.216e-03
194	5.508e-03	1.674e-02	3.975e-03	3.215e-03
195	5.539e-03	1.679e-02	4.025e-03	3.220e-03
196	5.499e-03	1.675e-02	4.066e-03	3.256e-03
197	5.444e-03	1.685e-02	3.935e-03	3.319e-03
198	5.502e-03	1.688e-02	4.024e-03	3.225e-03
199	5.539e-03	1.674e-02	3.966e-03	3.288e-03
200	5.420e-03	1.679e-02	4.152e-03	3.202e-03
201	5.470e-03	1.680e-02	3.941e-03	3.286e-03
202	5.487e-03	1.674e-02	3.942e-03	3.199e-03
203	5.565e-03	1.681e-02	3.948e-03	3.205e-03
204	5.451e-03	1.674e-02	3.983e-03	3.226e-03
205	5.384e-03	1.680e-02	4.004e-03	3.165e-03
206	5.415e-03	1.678e-02	3.943e-03	3.278e-03
207	5.392e-03	1.681e-02	3.931e-03	3.196e-03
208	5.500e-03	1.680e-02	3.948e-03	3.212e-03
209	5.381e-03	1.677e-02	4.140e-03	3.324e-03
210	5.458e-03	1.673e-02	4.010e-03	3.311e-03
211	5.457e-03	1.681e-02	3.947e-03	3.223e-03
212	5.513e-03	1.681e-02	3.989e-03	3.241e-03
213	5.559e-03	1.675e-02	4.004e-03	3.263e-03
214	5.412e-03	1.674e-02	4.140e-03	3.228e-03
215	5.440e-03	1.673e-02	3.936e-03	3.359e-03
216	5.459e-03	1.679e-02	3.971e-03	3.266e-03
217	5.552e-03	1.672e-02	3.947e-03	3.213e-03
218	5.464e-03	1.681e-02	3.983e-03	3.223e-03
219	5.420e-03	1.677e-02	4.017e-03	3.202e-03
220	5.507e-03	1.675e-02	3.958e-03	3.275e-03
221	5.410e-03	1.678e-02	3.945e-03	3.244e-03
222	5.508e-03	1.675e-02	3.975e-03	3.217e-03
223	5.388e-03	1.681e-02	3.992e-03	3.210e-03
224	5.408e-03	1.684e-02	3.936e-03	3.271e-03
225	5.421e-03	1.678e-02	3.942e-03	3.202e-03
226	5.447e-03	1.684e-02	3.961e-03	3.203e-03
227	5.463e-03	1.674e-02	3.944e-03	3.199e-03
228	5.384e-03	1.680e-02	4.018e-03	3.209e-03
229	5.394e-03	1.678e-02	3.939e-03	3.235e-03
230	5.406e-03	1.681e-02	4.019e-03	3.243e-03
231	5.447e-03	1.677e-02	3.936e-03	3.215e-03
232	5.442e-03	1.676e-02	4.017e-03	3.203e-03
233	5.437e-03	1.683e-02	3.936e-03	3.270e-03
234	5.387e-03	1.686e-02	3.939e-03	3.176e-03
235	5.481e-03	1.682e-02	3.957e-03	3.210e-03
236	5.421e-03	1.684e-02	3.913e-03	3.174e-03
237	5.430e-03	1.675e-02	4.036e-03	3.249e-03
238	5.391e-03	1.676e-02	3.943e-03	3.259e-03
239	5.431e-03	1.674e-02	3.949e-03	3.164e-03
240	5.416e-03	1.674e-02	3.944e-03	3.210e-03
241	5.457e-03	1.673e-02	4.010e-03	3.199e-03
242	5.422e-03	1.706e-02	4.078e-03	3.263e-03
243	5.376e-03	1.675e-02	4.087e-03	3.232e-03
244	5.503e-03	1.672e-02	3.939e-03	3.200e-03
245	5.429e-03	1.671e-02	3.936e-03	3.261e-03
246	5.402e-03	1.676e-02	4.045e-03	3.167e-03
247	5.394e-03	1.676e-02	4.065e-03	3.546e-03
248	5.382e-03	1.675e-02	3.943e-03	3.249e-03
249	5.461e-03	1.670e-02	3.981e-03	3.222e-03
250	5.372e-03	1.676e-02	4.057e-03	3.208e-03
251	5.388e-03	1.676e-02	3.936e-03	3.248e-03
252	5.426e-03	1.677e-02	3.948e-03	3.203e-03
253	5.475e-03	1.680e-02	3.944e-03	3.217e-03
254	5.473e-03	1.679e-02	3.946e-03	3.204e-03
255	5.384e-03	1.673e-02	4.338e-03	3.203e-03
256	5.411e-03	1.683e-02	3.932e-03	3.281e-03
257	5.411e-03	1.679e-02	3.957e-03	3.203e-03
258	5.446e-03	1.678e-02	3.922e-03	3.196e-03
259	5.436e-03	1.686e-02	4.025e-03	3.204e-03
260	5.403e-03	1.676e-02	3.941e-03	3.307e-03
261	5.407e-03	1.674e-02	3.932e-03	3.205e-03
262	5.464e-03	1.681e-02	3.944e-03	3.220e-03
263	5.435e-03	1.677e-02	3.934e-03	3.171e-03
264	5.458e-03	1.681e-02	3.998e-03	3.234e-03
265	5.388e-03	1.682e-02	3.942e-03	3.275e-03
266	5.406e-03	1.677e-02	3.948e-03	3.191e-03
267	5.441e-03	1.679e-02	3.937e-03	3.205e-03
268	5.385e-03	1.677e-02	4.011e-03	3.174e-03
269	5.416e-03	1.681e-02	3.939e-03	3.301e-03
270	5.401e-03	1.674e-02	3.936e-03	3.202e-03
271	5.526e-03	1.673e-02	3.994e-03	3.206e-03
272	5.479e-03	1.676e-02	3.951e-03	3.244e-03
273	5.381e-03	1.678e-02	4.009e-03	3.187e-03
274	5.403e-03	1.675e-02	3.987e-03	3.268e-03
275	5.427e-03	1.679e-02	3.963e-03	3.200e-03
276	5.477e-03	1.676e-02	3.942e-03	3.195e-03
277	5.374e-03	1.672e-02	3.993e-03	3.204e-03
278	5.374e-03	1.679e-02	4.401e-03	3.224e-03
279	5.406e-03	1.675e-02	3.962e-03	3.213e-03
280	5.443e-03	1.677e-02	3.935e-03	3.195e-03
281	5.456e-03	1.692e-02	3.940e-03	3.197e-03
282	5.378e-03	1.672e-02	4.316e-03	3.217e-03
283	5.434e-03	1.678e-02	4.246e-03	3.279e-03
284	5.375e-03	1.674e-02	3.937e-03	3.238e-03
285	5.429e-03	1.677e-02	3.936e-03	3.168e-03
286	5.406e-03	1.675e-02	4.038e-03	3.232e-03
287	5.372e-03	1.674e-02	4.260e-03	3.244e-03
288	5.398e-03	1.677e-02	4.263e-03	3.288e-03
289	5.437e-03	1.675e-02	3.935e-03	3.200e-03
290	5.467e-03	1.678e-02	3.934e-03	3.168e-03
291	5.398e-03	1.677e-02	4.314e-03	3.205e-03
292	5.380e-03	1.676e-02	4.117e-03	3.284e-03
293	5.396e-03	1.675e-02	3.962e-03	3.295e-03
294	5.427e-03	1.673e-02	3.934e-03	3.199e-03
295	5.447e-03	1.698e-02	4.019e-03	3.211e-03
296	5.376e-03	1.678e-02	4.304e-03	3.204e-03
297	5.383e-03	1.678e-02	4.261e-03	3.274e-03
298	5.436e-03	1.678e-02	3.978e-03	3.486e-03
299	5.758e-03	1.677e-02	3.939e-03	3.216e-03
300	5.379e-03	1.673e-02	4.002e-03	3.197e-03
301	5.398e-03	1.679e-02	4.018e-03	3.558e-03
302	5.439e-03	1.672e-02	3.965e-03	4.468e-03
303	8.912e-03	1.848e-02	3.993e-03	3.237e-03
304	5.413e-03	1.670e-02	3.940e-03	3.203e-03
305	5.410e-03	1.668e-02	3.978e-03	3.198e-03
306	5.428e-03	1.670e-02	3.944e-03	3.202e-03
307	5.398e-03	1.670e-02	3.931e-03	3.209e-03
308	5.439e-03	1.668e-02	3.938e-03	3.200e-03
309	5.388e-03	1.717e-02	4.005e-03	3.233e-03
310	5.412e-03	1.667e-02	3.953e-03	3.166e-03
311	5.388e-03	1.670e-02	3.962e-03	3.244e-03
312	5.418e-03	1.671e-02	3.969e-03	3.325e-03
313	6.290e-03	1.673e-02	3.961e-03	3.216e-03
314	6.409e-03	1.670e-02	3.996e-03	3.169e-03
315	5.422e-03	1.673e-02	4.009e-03	3.243e-03
316	5.405e-03	1.687e-02	3.947e-03	3.169e-03
317	5.427e-03	1.670e-02	4.489e-03	3.280e-03
318	8.934e-03	1.685e-02	4.179e-03	3.313e-03
319	7.959e-03	1.717e-02	5.203e-03	4.636e-03
320	5.477e-03	1.685e-02	4.099e-03	3.334e-03
321	5.618e-03	1.673e-02	4.071e-03	3.304e-03
322	5.556e-03	1.663e-02	4.036e-03	3.276e-03
323	5.459e-03	1.664e-02	3.979e-03	3.244e-03
324	5.403e-03	1.670e-02	4.057e-03	3.277e-03
325	5.534e-03	1.661e-02	4.073e-03	3.298e-03
326	5.496e-03	1.665e-02	4.089e-03	3.272e-03
327	5.494e-03	1.669e-02	4.035e-03	3.293e-03
328	5.483e-03	1.671e-02	4.002e-03	3.268e-03
329	5.453e-03	1.669e-02	3.944e-03	3.233e-03
330	5.419e-03	1.673e-02	3.951e-03	3.235e-03
331	5.419e-03	1.680e-02	3.994e-03	3.214e-03
332	5.443e-03	1.736e-02	4.716e-03	3.218e-03
333	5.428e-03	1.676e-02	3.962e-03	3.172e-03
334	5.407e-03	1.671e-02	3.996e-03	3.242e-03
335	5.399e-03	1.673e-02	3.996e-03	3.246e-03
336	5.459e-03	1.670e-02	3.997e-03	3.210e-03
